carat,cut,color,clarity,depth,table,x,y,z,price,cut_encoded,color_encoded,clarity_encoded
0.5,Good,F,VS2,59.7,63.0,5.08,5.1,3.04,7.211,2,4,3
0.37,Ideal,E,VVS2,61.4,56.0,4.64,4.67,2.86,6.775,4,6,5
1.13,Ideal,D,VS1,61.2,57.0,6.7,6.72,4.1,9.348,4,5,4
0.91,Very Good,E,SI2,60.0,60.0,6.23,6.28,3.75,8.143,3,6,0
1.2,Ideal,G,VVS1,61.2,56.0,6.89,6.86,4.21,9.184,4,3,6
0.24,Very Good,F,VS1,63.0,58.0,3.92,3.95,2.48,6.038,3,4,4
0.7,Good,F,VS1,64.0,57.0,5.62,5.54,3.57,7.8,2,4,4
1.5,Premium,E,SI2,61.2,59.0,7.36,7.41,4.52,9.2,1,6,0
0.71,Very Good,J,SI1,59.1,61.0,5.82,5.85,3.45,7.529,3,0,2
0.43,Ideal,I,IF,62.0,55.0,4.83,4.85,3.0,6.962,4,1,7
1.01,Good,H,VS2,63.1,59.0,6.3,6.34,3.99,8.55,2,2,3
0.91,Very Good,F,SI1,63.1,60.0,6.13,6.1,3.86,8.009,3,4,2
0.32,Ideal,D,VS2,62.6,55.0,4.37,4.39,2.74,6.631,4,5,3
1.71,Very Good,H,VS2,62.6,59.0,7.54,7.58,4.73,9.506,3,2,3
1.09,Very Good,F,SI2,58.5,59.0,6.75,6.8,3.96,8.322,3,4,0
0.64,Ideal,F,VVS2,61.0,56.0,5.55,5.59,3.4,8.113,4,4,5
0.7,Very Good,J,SI2,63.6,56.0,5.57,5.63,3.56,7.383,3,0,0
0.92,Ideal,E,SI2,62.2,56.0,6.24,6.2,3.87,8.279,4,6,0
0.57,Very Good,E,SI1,62.1,58.0,5.28,5.32,3.29,7.242,3,6,2
0.3,Ideal,E,VS2,62.1,55.0,4.28,4.32,2.67,6.489,4,6,3
0.54,Ideal,F,VS2,64.2,54.0,5.19,5.12,3.31,7.516,4,4,3
0.9,Ideal,I,VS2,61.5,58.0,6.19,6.23,3.82,8.197,4,1,3
0.23,Very Good,D,VS1,59.0,61.0,4.04,4.06,2.39,5.922,3,5,4
0.31,Ideal,F,VVS2,61.6,55.0,4.35,4.38,2.69,6.821,4,4,5
0.9,Good,E,SI2,63.7,63.0,6.05,6.1,3.87,8.187,2,6,0
0.38,Premium,F,VS2,60.5,59.0,4.72,4.67,2.84,6.933,1,4,3
0.31,Ideal,E,VVS1,60.5,57.0,4.38,4.41,2.66,6.848,4,6,6
0.82,Premium,E,SI1,61.2,61.0,5.98,5.95,3.65,8.074,1,6,2
0.9,Very Good,G,VS1,62.7,56.0,6.1,6.14,3.84,8.472,3,3,4
0.5,Very Good,D,SI1,58.5,60.0,5.13,5.19,3.02,7.27,3,5,2
0.42,Very Good,D,VVS1,62.4,55.0,4.79,4.82,3.0,7.121,3,5,6
1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,7.94,0,3,1
2.05,Premium,G,SI2,58.7,60.0,8.4,8.32,4.91,9.797,1,3,0
0.67,Good,D,SI1,63.8,57.0,5.53,5.48,3.51,7.722,2,5,2
1.02,Premium,F,SI2,62.5,58.0,6.47,6.4,4.02,8.231,1,4,0
0.52,Ideal,G,VS2,60.8,57.0,5.19,5.21,3.16,7.375,4,3,3
0.31,Premium,I,SI1,60.7,58.0,4.42,4.38,2.67,6.385,1,1,2
0.5,Good,F,SI2,62.0,54.7,5.09,5.12,3.16,7.102,2,4,0
1.0,Fair,H,SI1,67.6,59.0,6.03,5.95,4.05,8.448,0,2,2
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,8.228,1,4,1
0.35,Very Good,H,SI2,63.2,61.0,4.49,4.47,2.83,6.312,3,2,0
0.35,Premium,D,VS2,62.0,58.0,4.54,4.56,2.82,6.72,1,5,3
1.83,Ideal,E,SI2,62.8,56.0,7.82,7.76,4.89,9.492,4,6,0
0.57,Ideal,G,I1,59.5,57.0,5.46,5.42,3.24,6.927,4,3,1
0.38,Ideal,D,SI1,61.3,57.0,4.67,4.7,2.87,6.784,4,5,2
0.34,Ideal,F,SI2,61.9,57.0,4.5,4.52,2.79,6.082,4,4,0
1.28,Ideal,G,VS2,62.2,57.0,6.99,6.94,4.33,9.08,4,3,3
1.22,Premium,D,SI1,62.3,60.0,6.84,6.8,4.25,8.655,1,5,2
0.3,Ideal,I,SI1,62.3,56.0,4.35,4.32,2.7,6.227,4,1,2
0.37,Premium,G,VVS2,59.1,60.0,4.71,4.69,2.78,6.987,1,3,5
1.04,Very Good,E,SI2,60.9,59.0,6.58,6.62,4.02,8.409,3,6,0
0.41,Ideal,G,IF,61.7,56.0,4.8,4.77,2.95,7.266,4,3,7
0.53,Ideal,D,VS2,61.2,56.0,5.23,5.2,3.19,7.579,4,5,3
1.01,Very Good,F,VS2,61.0,57.0,6.42,6.5,3.94,8.712,3,4,3
1.54,Good,J,SI1,62.9,62.0,7.3,7.36,4.61,8.902,2,0,2
1.06,Very Good,F,SI2,61.8,56.4,6.51,6.56,4.04,8.568,3,4,0
0.33,Very Good,G,VS2,62.0,58.0,4.42,4.45,2.75,6.361,3,3,3
2.0,Very Good,I,VS2,60.4,60.0,8.14,8.19,4.93,9.709,3,1,3
0.41,Ideal,F,VVS1,60.7,56.0,4.81,4.85,2.93,7.166,4,4,6
0.9,Premium,G,VS1,62.3,60.0,6.08,6.0,3.76,8.403,1,3,4
1.02,Very Good,J,SI2,63.3,56.0,6.38,6.42,4.05,8.228,3,0,0
1.02,Ideal,D,SI2,62.5,57.0,6.43,6.38,4.0,8.305,4,5,0
0.4,Ideal,H,SI1,61.8,57.0,4.75,4.77,2.94,6.798,4,2,2
1.13,Premium,H,SI2,62.7,55.0,6.69,6.61,4.17,8.465,1,2,0
1.0,Premium,G,VS1,58.6,61.0,6.57,6.5,3.83,8.852,1,3,4
1.01,Good,D,SI2,64.0,59.0,6.34,6.28,4.04,8.295,2,5,0
0.73,Premium,H,SI2,58.7,58.0,5.94,5.91,3.48,7.564,1,2,0
0.34,Ideal,G,VVS1,62.1,55.0,4.49,4.46,2.78,6.863,4,3,6
1.01,Good,F,VS2,57.3,62.0,6.63,6.59,3.79,8.61,2,4,3
0.31,Ideal,H,SI1,61.3,55.0,4.36,4.41,2.69,6.043,4,2,2
0.31,Very Good,D,SI1,60.0,61.0,4.41,4.43,2.65,6.347,3,5,2
0.62,Premium,J,VVS2,60.9,58.0,5.5,5.56,3.37,7.255,1,0,5
0.72,Very Good,H,SI2,63.5,55.0,5.66,5.62,3.58,7.495,3,2,0
1.01,Premium,E,VS2,62.4,60.0,6.39,6.43,4.0,8.778,1,6,3
0.85,Premium,D,SI2,58.5,60.0,6.23,6.21,3.64,8.131,1,5,0
0.9,Premium,E,SI1,61.9,58.0,6.17,6.1,3.8,8.345,1,6,2
0.7,Good,D,SI2,63.6,62.0,5.61,5.55,3.55,7.717,2,5,0
0.53,Ideal,E,SI1,61.6,56.0,5.23,5.19,3.21,7.382,4,6,2
0.3,Ideal,G,VS2,63.0,55.0,4.31,4.29,2.71,6.515,4,3,3
0.4,Ideal,E,VVS1,62.4,57.0,4.67,4.72,2.93,7.195,4,6,6
1.7,Premium,I,VS2,61.4,59.0,7.6,7.68,4.69,9.352,1,1,3
0.46,Premium,I,SI2,60.3,62.0,4.95,4.9,2.97,6.78,1,1,0
0.41,Very Good,E,VS1,62.8,58.0,4.7,4.72,2.96,6.984,3,6,4
1.0,Ideal,G,VVS2,59.8,54.0,6.58,6.54,3.92,8.973,4,3,5
1.58,Premium,D,SI1,60.2,58.0,7.6,7.46,4.56,9.498,1,5,2
0.3,Ideal,F,VVS1,62.4,56.0,4.28,4.31,2.68,6.766,4,4,6
0.72,Ideal,G,VVS1,61.7,55.0,5.8,5.77,3.57,8.11,4,3,6
0.4,Good,E,SI1,63.6,57.0,4.69,4.65,2.97,6.782,2,6,2
1.2,Very Good,I,SI2,60.3,57.0,6.88,6.95,4.17,8.415,3,1,0
0.35,Premium,D,SI2,62.3,58.0,4.48,4.54,2.81,6.258,1,5,0
1.55,Ideal,E,VS2,61.9,58.0,7.39,7.45,4.59,9.635,4,6,3
1.01,Very Good,H,VS1,60.9,55.0,6.53,6.57,3.99,8.646,3,2,4
0.9,Fair,J,SI1,64.6,61.0,5.92,5.87,3.81,7.799,0,0,2
0.41,Good,I,VVS2,63.5,57.0,4.72,4.76,3.01,6.718,2,1,5
2.59,Ideal,J,VS1,61.7,56.0,8.83,8.77,5.43,9.709,4,0,4
0.53,Ideal,H,VVS2,61.8,56.0,5.22,5.2,3.22,7.496,4,2,5
1.26,Ideal,E,VVS2,61.1,57.0,7.0,6.98,4.27,9.577,4,6,5
0.31,Ideal,F,VVS1,62.4,54.0,4.33,4.35,2.71,6.733,4,4,6
1.21,Premium,D,VS1,62.6,56.0,6.83,6.74,4.25,9.279,1,5,4
1.51,Premium,J,VS2,62.3,59.0,7.31,7.35,4.57,8.912,1,0,3
0.32,Premium,G,VVS2,61.7,59.0,4.41,4.37,2.71,6.842,1,3,5
0.31,Ideal,D,VVS2,61.9,56.0,4.37,4.39,2.71,6.641,4,5,5
1.0,Premium,I,VS1,60.6,58.0,6.47,6.4,3.9,8.313,1,1,4
0.37,Very Good,D,SI1,62.2,58.0,4.58,4.62,2.86,6.524,3,5,2
0.5,Premium,E,SI2,61.5,58.0,5.09,5.03,3.11,7.074,1,6,0
0.34,Premium,D,SI2,60.6,60.0,4.53,4.48,2.73,6.477,1,5,0
1.52,Premium,E,VS1,59.9,60.0,7.39,7.47,4.45,9.719,1,6,4
0.52,Ideal,E,VVS2,62.3,57.0,5.12,5.15,3.2,7.657,4,6,5
0.33,Ideal,E,SI1,61.6,55.0,4.47,4.49,2.76,6.554,4,6,2
1.11,Ideal,G,VVS2,63.1,57.0,6.55,6.6,4.15,9.087,4,3,5
0.5,Very Good,G,VVS2,60.9,61.0,5.11,5.13,3.12,7.516,3,3,5
0.3,Very Good,F,VS1,59.8,60.0,4.39,4.31,2.6,6.461,3,4,4
0.54,Ideal,E,SI2,60.4,57.0,5.27,5.33,3.2,7.128,4,6,0
0.3,Ideal,E,VVS1,62.2,57.0,4.28,4.31,2.67,6.759,4,6,6
0.91,Premium,I,SI1,58.4,55.0,6.34,6.32,3.7,7.901,1,1,2
0.51,Very Good,I,SI2,63.3,58.0,5.09,5.02,3.2,6.903,3,1,0
1.21,Premium,F,SI2,61.8,59.0,6.82,6.77,4.2,8.406,1,4,0
0.32,Premium,J,VS2,60.0,61.0,4.49,4.45,2.68,6.223,1,0,3
0.73,Good,F,SI1,64.3,59.0,5.67,5.62,3.63,7.798,2,4,2
1.51,Premium,F,SI1,62.2,59.0,7.34,7.3,4.55,9.359,1,4,2
0.41,Premium,G,SI1,62.7,55.0,4.8,4.77,3.0,6.828,1,3,2
0.32,Very Good,E,VVS2,62.4,56.0,4.34,4.38,2.72,6.612,3,6,5
1.06,Ideal,D,VVS2,61.1,56.0,6.58,6.59,4.02,9.324,4,5,5
1.04,Premium,D,SI2,61.9,58.0,6.54,6.49,4.03,8.421,1,5,0
0.31,Ideal,I,VS1,61.9,54.0,4.33,4.36,2.69,6.133,4,1,4
0.41,Ideal,G,SI1,61.6,57.0,4.77,4.81,2.95,7.012,4,3,2
0.31,Very Good,E,SI1,63.1,57.0,4.31,4.28,2.71,6.548,3,6,2
2.25,Premium,I,SI1,61.3,58.0,8.52,8.42,0.0,9.642,1,1,2
0.27,Ideal,D,VVS2,62.3,57.0,4.15,4.13,2.58,6.683,4,5,5
1.06,Ideal,F,VS1,61.9,57.0,6.53,6.55,4.05,8.902,4,4,4
0.35,Ideal,G,IF,61.8,56.0,4.52,4.57,2.81,6.881,4,3,7
1.22,Ideal,G,VS2,60.1,57.0,6.96,7.01,4.2,9.206,4,3,3
0.9,Premium,G,VS1,62.7,58.0,6.15,6.06,3.83,8.429,1,3,4
1.25,Premium,J,SI1,62.0,58.0,6.88,6.9,4.27,8.532,1,0,2
0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,7.755,2,3,0
0.59,Ideal,G,VVS2,62.2,56.0,5.39,5.35,3.34,7.733,4,3,5
0.38,Very Good,E,SI2,62.5,61.0,4.59,4.63,2.88,6.38,3,6,0
1.02,Very Good,F,VS1,61.9,59.0,6.38,6.44,3.97,8.89,3,4,4
0.71,Ideal,H,SI2,59.4,57.0,5.87,5.81,3.47,7.722,4,2,0
0.51,Ideal,D,VVS2,61.3,56.0,5.14,5.15,3.16,8.078,4,5,5
0.41,Good,E,SI1,63.1,57.0,4.71,4.73,2.98,6.529,2,6,2
0.41,Very Good,E,SI1,63.2,56.0,4.74,4.72,2.99,6.923,3,6,2
1.22,Premium,G,SI2,61.6,62.0,6.79,6.75,4.17,8.561,1,3,0
0.31,Very Good,H,VS2,62.5,54.0,4.35,4.39,2.73,6.192,3,2,3
1.22,Premium,H,VS2,61.4,62.0,6.92,6.76,4.22,8.69,1,2,3
0.46,Premium,E,SI1,61.8,57.0,4.98,4.93,3.06,6.942,1,6,2
2.0,Very Good,J,VS1,61.0,51.6,8.14,8.18,4.97,9.488,3,0,4
0.52,Ideal,G,VS1,61.3,56.0,5.2,5.17,3.18,7.435,4,3,4
1.01,Very Good,E,VS2,62.2,58.0,6.36,6.41,3.97,8.783,3,6,3
1.01,Premium,F,VS2,61.6,59.0,6.43,6.39,3.95,8.811,1,4,3
1.0,Very Good,G,IF,58.3,62.0,6.51,6.57,3.81,8.987,3,3,7
0.36,Ideal,I,VS2,61.6,55.0,4.6,4.65,2.85,6.26,4,1,3
0.28,Very Good,H,VS2,61.4,57.0,4.21,4.23,2.59,5.93,3,2,3
0.8,Ideal,G,SI2,62.2,57.0,5.93,5.96,3.7,7.885,4,3,0
0.52,Ideal,G,VS1,62.1,54.0,5.17,5.14,3.2,7.463,4,3,4
1.0,Fair,G,I1,61.7,57.0,6.39,6.28,3.91,7.909,0,3,1
1.51,Very Good,J,VS1,63.7,55.0,7.16,7.28,4.6,8.981,3,0,4
0.51,Ideal,F,VS2,61.6,57.0,5.14,5.15,3.17,7.415,4,4,3
0.35,Premium,J,VS1,62.4,58.0,5.67,5.64,3.53,6.855,1,0,4
0.32,Ideal,H,VVS2,61.9,55.0,4.39,4.37,2.71,6.719,4,2,5
0.3,Very Good,D,VS1,62.2,58.0,4.25,4.27,2.65,6.609,3,5,4
0.35,Premium,H,VS1,61.7,59.0,4.53,4.51,2.79,6.669,1,2,4
1.51,Premium,F,VS2,61.7,58.0,7.33,7.28,4.51,9.543,1,4,3
0.34,Very Good,I,VS2,62.1,57.0,4.44,4.48,2.77,6.168,3,1,3
0.4,Ideal,J,VVS2,61.9,55.0,4.74,4.79,2.95,6.495,4,0,5
1.01,Fair,D,SI2,65.3,55.0,6.33,6.19,4.09,8.344,0,5,0
1.55,Premium,J,VS1,62.6,59.0,7.35,7.4,4.62,9.059,1,0,4
1.04,Ideal,J,SI2,60.4,57.0,6.55,6.6,3.97,8.233,4,0,0
0.59,Premium,D,VS1,61.9,58.0,5.37,5.32,3.31,7.752,1,5,4
0.83,Ideal,F,VS2,61.6,58.0,6.04,6.07,3.73,8.253,4,4,3
0.72,Ideal,H,VS1,61.9,56.0,5.73,5.78,3.56,7.857,4,2,4
1.0,Good,I,SI1,61.0,60.0,6.36,6.39,3.89,8.411,2,1,2
0.26,Very Good,E,VS2,59.2,58.0,4.18,4.2,2.48,6.116,3,6,3
0.57,Ideal,G,VS2,61.5,55.0,5.33,5.37,3.29,7.433,4,3,3
1.34,Very Good,J,SI2,62.7,56.0,7.05,7.08,4.43,8.582,3,0,0
0.32,Ideal,E,VVS1,60.5,57.0,4.44,4.48,2.7,6.821,4,6,6
0.52,Ideal,F,VS2,60.6,55.0,5.19,5.27,3.17,7.416,4,4,3
0.41,Ideal,E,VS1,62.2,55.0,4.79,4.76,2.97,6.937,4,6,4
1.15,Premium,G,SI2,62.5,55.0,6.72,6.68,4.19,8.489,1,3,0
0.72,Ideal,G,SI2,62.6,52.0,5.74,5.77,3.6,7.738,4,3,0
0.3,Very Good,I,VS1,62.9,58.0,4.26,4.29,2.69,6.159,3,1,4
1.25,Very Good,H,SI2,62.8,55.0,6.82,6.87,4.3,8.661,3,2,0
0.3,Ideal,G,SI1,62.3,56.0,4.29,4.32,2.68,6.068,4,3,2
0.82,Fair,F,SI1,64.9,58.0,5.83,5.79,3.77,7.951,0,4,2
0.91,Very Good,E,SI1,61.9,61.0,6.11,6.14,3.79,8.302,3,6,2
1.2,Very Good,G,SI1,63.5,56.0,6.77,6.7,4.28,8.805,3,3,2
0.62,Fair,D,SI2,64.6,57.0,5.39,5.33,3.46,7.251,0,5,0
0.53,Very Good,E,VS2,61.6,57.0,5.18,5.21,3.2,7.451,3,6,3
1.01,Premium,E,SI2,60.6,58.0,6.47,6.53,3.94,8.305,1,6,0
0.38,Premium,I,VS2,61.5,58.0,4.62,4.61,2.84,6.7,1,1,3
0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,6.075,3,2,2
0.25,Very Good,D,VVS2,59.5,56.0,4.14,4.19,2.48,6.545,3,5,5
1.05,Ideal,F,VVS2,61.9,57.0,6.5,6.52,4.03,9.09,4,4,5
3.24,Premium,H,I1,62.1,58.0,9.44,9.4,5.85,9.417,1,2,1
0.7,Ideal,E,VS1,62.3,54.0,5.67,5.72,3.55,7.983,4,6,4
0.3,Ideal,G,IF,62.2,55.0,4.31,4.34,2.69,6.76,4,3,7
0.3,Very Good,I,VS2,60.5,55.0,4.34,4.37,2.63,6.116,3,1,3
0.32,Ideal,D,VVS2,61.7,57.0,4.39,4.42,2.72,6.726,4,5,5
1.1,Premium,G,VS2,60.2,58.0,6.71,6.75,4.05,8.785,1,3,3
0.31,Ideal,D,SI1,62.5,53.0,4.37,4.34,2.72,6.528,4,5,2
0.3,Ideal,E,SI2,62.1,55.0,4.3,4.33,2.68,5.994,4,6,0
0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,5.814,2,0,0
0.32,Ideal,G,VS2,61.5,57.0,4.4,4.41,2.71,6.33,4,3,3
0.24,Ideal,F,VVS1,60.8,55.0,4.03,4.06,2.46,6.519,4,4,6
0.8,Ideal,D,VS1,62.4,56.0,5.94,5.98,3.72,8.438,4,5,4
0.3,Premium,D,VS2,61.0,60.0,4.33,4.29,2.63,6.815,1,5,3
0.4,Very Good,D,SI1,63.5,55.0,4.72,4.67,2.98,6.829,3,5,2
1.26,Premium,H,SI1,61.3,57.0,7.01,6.93,4.27,8.862,1,2,2
1.52,Very Good,H,SI2,63.1,55.0,7.36,7.28,4.62,8.936,3,2,0
1.08,Ideal,F,SI1,62.7,57.0,6.52,6.49,4.08,8.581,4,4,2
1.0,Good,E,SI1,64.2,58.0,6.25,6.28,4.02,8.529,2,6,2
0.51,Premium,G,VS1,62.3,58.0,5.08,5.13,3.18,7.412,1,3,4
0.52,Ideal,E,VS2,61.3,57.0,5.19,5.22,3.19,7.363,4,6,3
0.24,Premium,H,VVS1,60.8,59.0,4.0,4.02,2.44,6.068,1,2,6
0.3,Very Good,F,VVS1,61.8,55.0,4.32,4.35,2.68,6.663,3,4,6
0.9,Very Good,I,VS1,62.6,59.0,6.11,6.15,3.84,8.325,3,1,4
0.51,Ideal,E,SI1,62.8,55.0,5.12,5.07,3.2,7.343,4,6,2
1.09,Very Good,J,VVS1,63.9,56.0,6.47,6.51,4.15,8.628,3,0,6
0.27,Very Good,D,VS2,62.0,57.0,4.11,4.15,2.56,6.153,3,5,3
0.71,Ideal,F,VVS1,61.0,56.0,5.77,5.8,3.53,8.521,4,4,6
0.32,Ideal,G,VVS2,62.1,57.0,4.4,4.42,2.74,6.593,4,3,5
0.35,Ideal,I,VS2,62.5,57.0,4.5,4.53,2.82,6.196,4,1,3
0.71,Very Good,G,VS2,61.8,56.0,5.69,5.74,3.53,7.881,3,3,3
1.07,Ideal,F,SI2,61.5,57.0,6.57,6.6,4.05,8.451,4,4,0
0.52,Very Good,E,VS1,59.1,58.0,5.31,5.38,3.16,7.536,3,6,4
1.0,Premium,F,VVS2,59.9,60.0,6.46,6.5,3.88,9.042,1,4,5
1.24,Ideal,I,SI1,62.1,56.0,6.88,6.84,4.26,8.683,4,1,2
0.7,Very Good,E,VS2,58.9,60.0,5.83,5.85,3.44,7.953,3,6,3
0.32,Very Good,I,SI1,62.9,58.0,4.33,4.35,2.73,6.068,3,1,2
0.3,Ideal,D,VS2,62.5,54.0,4.29,4.32,2.69,6.565,4,5,3
0.42,Ideal,G,VS2,62.2,54.1,4.8,4.83,3.0,6.81,4,3,3
1.01,Very Good,D,VS2,63.3,58.0,6.35,6.38,4.03,8.824,3,5,3
0.59,Ideal,J,VS1,58.7,56.0,5.52,5.48,3.23,7.193,4,0,4
0.53,Ideal,I,VS1,62.3,56.0,5.19,5.23,3.24,7.263,4,1,4
0.41,Premium,E,VS1,62.0,60.0,4.74,4.78,2.95,6.984,1,6,4
0.51,Ideal,E,VS2,61.6,55.0,5.16,5.19,3.19,7.643,4,6,3
0.42,Very Good,D,SI2,60.0,61.0,4.85,4.89,2.92,6.551,3,5,0
1.17,Very Good,H,SI2,62.7,56.0,6.68,6.74,4.21,8.482,3,2,0
2.0,Ideal,J,VS2,62.3,55.0,8.03,8.06,5.01,9.493,4,0,3
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,7.363,1,6,3
0.53,Ideal,E,VS2,62.0,55.0,5.21,5.17,3.22,7.454,4,6,3
0.55,Ideal,E,VS1,62.0,56.0,5.24,5.27,3.26,7.601,4,6,4
0.91,Premium,H,VS1,61.0,59.0,6.25,6.18,3.79,8.449,1,2,4
0.3,Very Good,I,SI1,61.6,59.0,4.29,4.34,2.66,5.976,3,1,2
0.71,Fair,E,SI2,64.8,63.0,5.63,5.51,3.61,7.602,0,6,0
0.43,Ideal,H,VVS2,62.3,55.0,4.82,4.85,3.01,6.849,4,2,5
1.01,Good,J,VS1,63.2,62.0,6.29,6.33,3.99,8.249,2,0,4
0.72,Very Good,F,VVS1,62.1,55.0,5.72,5.78,3.57,8.233,3,4,6
0.52,Premium,E,SI1,59.0,59.0,5.3,5.21,3.1,7.172,1,6,2
1.66,Ideal,H,VS1,62.0,55.0,7.61,7.67,4.74,9.63,4,2,4
0.56,Ideal,E,VVS2,61.7,56.0,5.31,5.33,3.28,7.905,4,6,5
0.54,Ideal,G,VVS2,61.0,56.0,5.3,5.25,3.22,7.645,4,3,5
1.01,Premium,H,SI1,61.9,59.0,6.35,6.32,3.92,8.341,1,2,2
1.12,Premium,J,SI1,62.7,55.0,6.65,6.61,4.16,8.31,1,0,2
0.81,Very Good,I,SI1,60.3,58.0,6.0,6.04,3.63,7.901,3,1,2
0.71,Very Good,F,VS2,60.6,58.0,5.74,5.81,3.5,7.9,3,4,3
0.57,Good,D,SI1,59.3,61.0,5.34,5.38,3.18,7.353,2,5,2
0.33,Ideal,G,IF,61.8,54.0,4.47,4.49,2.77,6.852,4,3,7
0.54,Very Good,D,VS2,61.1,55.0,5.24,5.37,3.24,7.545,3,5,3
0.42,Premium,F,VS1,59.8,57.0,4.89,4.85,2.91,6.893,1,4,4
0.51,Premium,G,VS2,62.9,58.0,5.11,5.06,3.2,7.343,1,3,3
0.41,Good,E,SI1,63.9,58.0,4.72,4.7,3.01,6.876,2,6,2
0.41,Ideal,H,IF,61.8,55.0,4.76,4.79,2.95,7.079,4,2,7
0.71,Premium,G,VS1,62.2,59.0,5.73,5.66,3.54,7.946,1,3,4
0.51,Ideal,G,VVS2,62.0,57.0,5.11,5.15,3.18,7.537,4,3,5
0.7,Premium,F,SI1,60.1,56.0,5.84,5.78,3.49,7.781,1,4,2
2.03,Very Good,E,SI2,63.7,58.0,7.91,7.94,5.05,9.706,3,6,0
0.51,Good,D,VS2,63.5,56.0,5.04,5.1,3.22,7.419,2,5,3
0.32,Good,E,VS1,64.3,59.0,4.28,4.34,2.77,6.458,2,6,4
1.01,Ideal,F,VS2,62.0,56.0,6.51,6.46,4.02,8.785,4,4,3
0.7,Premium,F,SI1,62.1,58.0,5.64,5.7,3.52,7.826,1,4,2
0.53,Very Good,G,VVS1,61.7,57.0,5.19,5.22,3.21,7.575,3,3,6
0.71,Very Good,F,SI1,61.1,58.0,5.71,5.77,3.51,7.916,3,4,2
0.56,Ideal,E,SI1,62.7,57.0,5.23,5.27,3.29,7.365,4,6,2
0.4,Ideal,E,VS1,62.4,54.0,4.73,4.75,2.96,6.858,4,6,4
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,7.98,3,6,3
1.71,Ideal,I,VS2,61.9,54.0,7.65,7.75,4.77,9.421,4,1,3
0.41,Ideal,J,VS1,62.8,56.0,4.73,4.79,2.99,6.561,4,0,4
1.2,Ideal,G,SI1,61.6,57.0,6.85,6.88,4.23,8.905,4,3,2
0.91,Premium,H,VS2,61.9,59.0,6.23,6.18,3.84,8.326,1,2,3
2.22,Premium,I,SI1,62.7,58.0,8.33,8.28,5.21,9.554,1,1,2
0.31,Ideal,E,VS2,61.8,55.0,4.35,4.33,2.68,6.771,4,6,3
0.3,Very Good,D,SI1,62.3,57.0,4.26,4.31,2.67,6.261,3,5,2
0.34,Ideal,E,VVS1,61.0,57.0,4.53,4.55,2.77,6.852,4,6,6
0.9,Premium,G,VS2,62.9,62.0,6.06,6.02,3.8,8.256,1,3,3
0.26,Premium,H,VVS2,62.4,58.0,4.07,4.04,2.53,6.397,1,2,5
0.3,Very Good,E,SI2,61.6,61.0,4.25,4.29,2.63,6.043,3,6,0
0.41,Ideal,D,VVS2,62.1,56.0,4.78,4.76,2.96,7.212,4,5,5
1.05,Very Good,H,SI2,63.8,58.0,6.38,6.45,4.09,8.322,3,2,0
0.73,Ideal,H,IF,62.2,54.0,5.76,5.82,3.6,8.102,4,2,7
0.32,Ideal,I,VS1,62.4,54.0,4.39,4.36,2.73,6.474,4,1,4
1.3,Premium,I,VS2,62.7,58.0,6.97,6.9,4.35,8.74,1,1,3
0.3,Premium,H,SI1,61.3,58.0,4.33,4.29,2.64,6.292,1,2,2
0.59,Ideal,D,SI1,61.0,57.0,5.43,5.46,3.32,7.504,4,5,2
1.0,Very Good,H,SI1,63.6,54.0,6.33,6.37,4.04,8.404,3,2,2
2.06,Fair,J,VS1,64.6,58.0,7.91,8.04,5.15,9.599,0,0,4
2.5,Ideal,I,VS2,61.9,57.0,8.7,8.68,5.38,9.738,4,1,3
0.39,Very Good,J,VS1,61.0,62.0,4.66,4.71,2.86,6.423,3,0,4
0.31,Ideal,F,VS2,61.9,57.0,4.32,4.34,2.68,6.368,4,4,3
1.75,Premium,G,VS2,61.5,59.0,7.76,7.66,4.74,9.728,1,3,3
0.42,Very Good,H,VVS2,62.4,57.0,4.78,4.83,3.0,6.825,3,2,5
2.24,Ideal,I,SI2,62.1,57.0,8.31,8.4,5.19,9.671,4,1,0
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,6.822,4,3,7
0.32,Premium,G,SI1,62.0,55.0,4.43,4.41,2.74,6.417,1,3,2
0.4,Premium,G,VS2,61.9,58.0,4.76,4.74,2.94,6.873,1,3,3
0.42,Ideal,G,VVS2,60.7,55.0,4.89,4.86,2.96,7.006,4,3,5
1.5,Very Good,J,VS1,61.7,58.0,7.29,7.33,4.51,8.992,3,0,4
2.22,Premium,I,SI1,59.9,59.0,8.46,8.41,5.05,9.822,1,1,2
0.44,Premium,I,VVS1,61.5,58.0,4.95,4.87,3.02,6.898,1,1,6
1.73,Premium,H,SI1,62.4,58.0,7.61,7.64,4.76,9.39,1,2,2
1.02,Very Good,H,VS1,61.4,56.5,6.44,6.47,3.97,8.733,3,2,4
2.02,Good,I,VS1,65.5,57.0,7.88,7.96,5.19,9.666,2,1,4
