carat,cut,color,clarity,depth,table,x,y,z,cut_encoded,color_encoded,clarity_encoded
0.4,Ideal,H,SI1,62.2,55.0,4.72,4.76,2.95,4,2,2
2.02,Fair,H,SI1,66.3,57.0,7.71,7.79,5.14,0,2,2
1.23,Premium,H,VS2,59.3,58.0,7.0,6.94,4.13,1,2,3
0.4,Premium,G,VS2,60.4,58.0,4.78,4.75,2.88,1,3,3
0.57,Premium,F,SI1,61.8,57.0,5.34,5.31,3.29,1,4,2
0.3,Ideal,E,VS2,62.3,57.0,4.32,4.29,2.68,4,6,3
1.01,Ideal,E,SI2,62.1,56.0,6.43,6.39,3.98,4,6,0
1.01,Premium,D,VS2,60.4,58.0,6.57,6.47,3.94,1,5,3
0.52,Ideal,H,VS2,62.0,57.0,5.12,5.08,3.16,4,2,3
1.31,Good,H,SI2,64.1,57.0,6.9,6.84,4.41,2,2,0
1.02,Ideal,G,SI1,62.2,57.0,6.43,6.49,4.02,4,3,2
0.5,Ideal,E,VS2,63.0,57.0,5.04,4.99,3.16,4,6,3
0.46,Ideal,H,VS1,62.3,53.0,4.96,4.99,3.1,4,2,4
0.55,Ideal,F,VS2,61.3,54.0,5.27,5.33,3.25,4,4,3
1.21,Good,J,VS2,61.0,64.0,6.89,6.79,4.17,2,0,3
2.11,Ideal,H,SI2,61.5,57.0,8.3,8.25,5.09,4,2,0
0.52,Ideal,G,SI2,61.3,56.0,5.19,5.22,3.19,4,3,0
0.41,Premium,E,VS2,62.1,58.0,4.78,4.75,2.96,1,6,3
0.72,Very Good,E,VS1,63.1,56.0,5.7,5.65,3.58,3,6,4
0.54,Ideal,D,VS1,62.1,57.0,5.19,5.22,3.23,4,5,4
0.35,Ideal,D,VS2,60.6,57.0,4.63,4.58,2.79,4,5,3
0.48,Premium,G,SI1,59.7,59.0,5.07,5.04,3.02,1,3,2
0.77,Very Good,G,SI1,58.4,63.0,5.95,6.03,3.5,3,3,2
1.01,Very Good,D,SI2,63.5,61.0,6.37,6.33,4.03,3,5,0
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,3,1,2
0.58,Very Good,I,VVS1,63.0,57.0,5.29,5.34,3.35,3,1,6
0.5,Very Good,F,SI2,62.5,56.0,5.05,5.09,3.17,3,4,0
1.0,Fair,F,VS1,67.0,52.0,6.12,6.08,4.09,0,4,4
0.38,Premium,F,VS1,62.4,59.0,4.63,4.57,2.87,1,4,4
1.02,Ideal,H,SI2,62.5,53.0,6.43,6.47,4.03,4,2,0
0.32,Ideal,G,VS2,61.4,57.0,4.39,4.4,2.7,4,3,3
1.02,Very Good,E,SI1,58.9,58.0,6.51,6.54,3.84,3,6,2
0.51,Ideal,F,VVS2,61.8,56.0,5.13,5.16,3.18,4,4,5
1.0,Premium,H,VS1,60.7,59.0,6.44,6.4,3.9,1,2,4
1.14,Premium,D,SI2,62.6,58.0,6.64,6.58,4.14,1,5,0
0.52,Very Good,G,VS2,63.7,56.0,5.08,5.13,3.25,3,3,3
0.75,Very Good,F,SI1,63.7,58.0,5.73,5.77,3.66,3,4,2
1.0,Fair,G,VS1,64.9,65.0,6.31,6.18,4.05,0,3,4
0.7,Premium,F,SI1,62.6,55.0,5.65,4.5,3.0,1,4,2
0.36,Very Good,D,VVS1,59.0,59.0,4.66,4.69,2.76,3,5,6
0.41,Ideal,E,VVS2,61.8,57.0,4.75,4.8,2.95,4,6,5
0.7,Very Good,G,VS2,61.8,55.0,5.69,5.74,3.53,3,3,3
1.11,Premium,E,SI1,61.3,58.0,6.66,6.61,4.07,1,6,2
1.25,Ideal,G,VS2,60.9,57.0,6.96,6.99,4.25,4,3,3
1.08,Premium,G,VS2,59.4,59.0,6.75,6.68,3.99,1,3,3
1.0,Premium,F,SI2,59.8,58.0,6.53,6.48,3.89,1,4,0
0.46,Ideal,I,VVS2,62.7,56.0,4.9,4.93,3.08,4,1,5
1.5,Fair,D,I1,64.7,62.0,7.19,7.04,4.6,0,5,1
0.43,Ideal,G,VVS1,60.5,57.0,4.86,4.92,2.96,4,3,6
0.3,Very Good,G,VVS1,61.1,57.0,4.33,4.37,2.66,3,3,6
0.69,Very Good,I,VS2,63.3,57.0,5.64,5.57,3.55,3,1,3
0.8,Ideal,E,VS2,62.2,57.0,5.98,5.95,3.71,4,6,3
0.5,Fair,G,SI2,65.6,56.0,4.99,4.92,3.25,0,3,0
2.35,Premium,H,SI1,62.6,60.0,8.42,8.38,5.26,1,2,2
0.9,Premium,G,VS2,60.2,59.0,6.28,6.22,3.76,1,3,3
1.5,Fair,H,SI1,65.0,57.0,7.1,7.06,4.6,0,2,2
1.09,Ideal,D,VVS2,61.3,57.0,6.61,6.66,4.07,4,5,5
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4,2,2
0.31,Premium,E,SI1,59.3,59.0,4.48,4.42,2.64,1,6,2
1.0,Good,D,SI1,59.9,62.0,6.41,6.45,3.85,2,5,2
0.9,Ideal,I,VS1,60.9,60.0,6.2,6.24,3.79,4,1,4
0.56,Ideal,G,IF,62.0,54.0,5.3,5.32,3.29,4,3,7
0.45,Fair,F,SI1,66.8,59.0,4.79,4.63,3.16,0,4,2
0.91,Ideal,H,SI1,62.0,56.0,6.19,6.22,3.85,4,2,2
1.09,Premium,H,SI2,62.0,57.0,6.61,6.55,4.08,1,2,0
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3,4,0
1.09,Ideal,E,SI2,61.9,55.0,6.6,6.64,4.1,4,6,0
1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,3,3,3
0.51,Ideal,H,SI1,61.7,55.0,5.12,5.16,3.17,4,2,2
0.96,Premium,F,SI1,60.6,62.0,6.39,6.35,3.86,1,4,2
0.31,Premium,H,VVS2,62.3,60.0,4.36,4.31,2.7,1,2,5
0.85,Very Good,E,VS2,60.2,60.0,6.09,6.14,3.68,3,6,3
0.32,Premium,G,VS2,61.5,60.0,4.39,4.36,2.69,1,3,3
1.29,Ideal,J,VS2,60.9,58.0,7.05,7.0,4.28,4,0,3
1.28,Very Good,G,VS1,59.2,57.0,7.05,7.13,4.2,3,3,4
0.31,Ideal,E,VVS1,61.5,56.0,4.34,4.37,2.68,4,6,6
1.02,Premium,F,SI2,59.9,62.0,6.53,6.5,3.9,1,4,0
1.13,Ideal,H,VS2,61.9,56.0,6.69,6.63,4.13,4,2,3
1.06,Good,G,VS2,63.1,59.0,6.45,6.48,4.08,2,3,3
0.33,Ideal,G,VVS1,62.0,56.0,4.45,4.48,2.77,4,3,6
0.51,Ideal,F,VVS2,61.2,56.0,5.19,5.17,3.17,4,4,5
0.3,Ideal,G,IF,62.4,55.0,4.32,4.34,2.7,4,3,7
0.33,Premium,H,VS2,61.3,60.0,4.44,4.47,2.73,1,2,3
0.24,Good,F,VS1,62.5,60.0,3.96,3.98,2.48,2,4,4
1.01,Very Good,E,VVS1,61.6,58.0,6.45,6.57,4.01,3,6,6
0.35,Ideal,D,VS2,62.3,55.0,4.52,4.54,2.82,4,5,3
0.7,Good,F,SI2,58.1,61.0,5.76,5.8,3.36,2,4,0
1.0,Premium,G,SI1,61.9,62.0,6.22,6.18,3.84,1,3,2
0.36,Ideal,G,VS2,62.3,54.0,4.59,4.62,2.87,4,3,3
0.39,Very Good,F,VVS1,60.8,57.0,4.72,4.75,2.88,3,4,6
1.06,Premium,I,SI2,61.5,58.0,6.59,6.55,4.04,1,1,0
0.77,Premium,D,VS1,59.4,59.0,5.96,6.0,3.55,1,5,4
0.5,Premium,D,SI2,62.2,58.0,5.14,5.08,3.18,1,5,0
0.38,Ideal,F,VVS1,61.9,54.0,4.67,4.7,2.9,4,4,6
0.31,Premium,I,VVS2,61.6,59.0,4.33,4.31,2.66,1,1,5
0.33,Ideal,E,VVS1,61.5,56.0,4.49,4.46,2.75,4,6,6
1.28,Premium,E,VS1,60.8,60.0,7.03,6.98,4.26,1,6,4
0.41,Premium,H,VVS2,59.8,60.0,4.86,4.79,2.88,1,2,5
2.03,Very Good,J,SI2,61.7,61.0,8.04,8.18,5.0,3,0,0
0.7,Premium,J,SI1,61.3,59.0,5.73,5.75,3.52,1,0,2
0.42,Ideal,H,VVS1,61.9,54.2,4.8,4.82,2.98,4,2,6
1.21,Very Good,I,SI1,62.9,55.0,6.69,6.76,4.23,3,1,2
1.01,Premium,E,SI1,60.0,59.0,6.53,6.47,3.9,1,6,2
0.33,Very Good,G,VVS1,61.2,60.0,4.42,4.44,2.71,3,3,6
1.07,Ideal,G,SI1,62.1,57.0,6.59,6.52,4.07,4,3,2
0.4,Ideal,F,VVS2,62.4,57.0,4.69,4.73,2.94,4,4,5
0.34,Ideal,E,VS1,62.4,55.0,4.47,4.44,2.78,4,6,4
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,3,2,4
1.21,Very Good,H,SI1,63.5,58.0,6.73,6.63,4.24,3,2,2
0.31,Ideal,D,VS2,62.5,57.0,4.31,4.36,2.71,4,5,3
0.4,Premium,E,SI1,62.0,61.0,4.71,4.67,2.91,1,6,2
1.51,Premium,G,SI1,60.5,59.0,7.49,7.41,4.51,1,3,2
0.47,Fair,D,IF,60.6,60.0,5.09,4.98,3.05,0,5,7
1.2,Premium,F,VVS2,62.8,60.0,6.79,6.74,4.25,1,4,5
0.33,Premium,D,SI2,59.5,59.0,4.5,4.48,2.67,1,5,0
1.01,Good,F,SI2,64.0,56.0,6.25,6.32,4.02,2,4,0
1.08,Ideal,G,SI2,61.9,58.0,6.55,6.57,4.06,4,3,0
0.91,Premium,D,SI2,62.2,59.0,6.19,6.23,3.86,1,5,0
0.31,Ideal,D,SI1,61.3,55.0,4.36,4.41,2.69,4,5,2
0.27,Ideal,I,VVS2,61.3,56.0,4.15,4.17,2.55,4,1,5
0.56,Ideal,E,VS2,61.4,57.0,5.35,5.31,3.27,4,6,3
0.46,Very Good,E,SI1,61.8,57.0,4.93,4.98,3.06,3,6,2
0.31,Ideal,G,SI2,62.2,54.0,4.36,4.39,2.72,4,3,0
1.2,Premium,I,VS2,62.3,57.0,6.79,6.74,4.22,1,1,3
1.21,Ideal,H,SI2,61.1,56.0,6.92,6.87,4.21,4,2,0
0.41,Premium,G,VS2,59.7,59.0,4.81,4.84,2.88,1,3,3
0.91,Good,F,VS1,63.5,56.0,6.14,6.18,3.91,2,4,4
1.5,Fair,J,VS1,60.1,61.0,7.25,7.3,4.37,0,0,4
0.4,Good,D,VS2,63.5,55.0,4.66,4.69,2.97,2,5,3
0.54,Ideal,I,IF,61.6,53.0,5.26,5.3,3.25,4,1,7
1.5,Good,F,SI2,62.6,64.0,7.25,7.19,4.52,2,4,0
0.32,Good,G,VS1,57.0,62.0,4.51,4.54,2.58,2,3,4
0.71,Ideal,G,SI1,62.4,56.0,5.74,5.71,3.57,4,3,2
0.31,Premium,D,VS2,62.6,59.0,4.3,4.33,2.7,1,5,3
0.73,Ideal,F,VVS1,62.7,56.0,5.76,5.72,3.6,4,4,6
0.6,Good,G,VS2,59.8,61.9,5.45,5.5,3.27,2,3,3
0.53,Good,E,VS2,63.7,55.0,5.12,5.15,3.27,2,6,3
0.71,Ideal,G,SI1,60.5,56.4,5.76,5.8,3.5,4,3,2
1.2,Ideal,G,VS1,62.0,57.0,6.78,6.81,4.21,4,3,4
0.4,Premium,F,SI1,62.3,60.0,4.74,4.7,2.94,1,4,2
1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,1,3,4
0.39,Ideal,E,VS1,62.7,53.6,4.67,4.69,2.93,4,6,4
1.54,Very Good,F,VS2,60.8,58.0,7.43,7.56,4.56,3,4,3
0.72,Ideal,I,VVS2,62.2,54.0,5.73,5.78,3.58,4,1,5
1.0,Premium,H,VS2,62.4,59.0,6.75,6.72,4.2,1,2,3
0.39,Ideal,G,VVS2,61.6,56.6,4.68,4.71,2.9,4,3,5
0.4,Very Good,F,SI1,63.3,57.0,4.68,4.73,2.98,3,4,2
0.56,Very Good,E,VVS2,60.7,57.0,5.31,5.36,3.24,3,6,5
0.5,Premium,I,SI1,61.7,58.0,5.09,5.15,3.16,1,1,2
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,4,4,6
0.3,Good,D,VS2,63.1,58.0,4.26,4.3,2.7,2,5,3
0.7,Ideal,E,VS1,62.1,55.0,5.72,5.77,3.57,4,6,4
0.77,Very Good,F,SI1,59.6,60.0,5.95,5.97,3.55,3,4,2
1.01,Very Good,F,VVS2,59.8,58.0,6.47,6.55,3.89,3,4,5
0.41,Very Good,D,VS2,62.8,55.0,4.7,4.73,2.96,3,5,3
0.7,Very Good,E,SI1,62.7,59.0,5.63,5.67,3.54,3,6,2
1.12,Ideal,F,VVS1,61.0,56.0,6.71,6.74,4.1,4,4,6
0.74,Ideal,D,VS1,61.3,57.0,5.8,5.84,3.57,4,5,4
1.17,Premium,J,I1,60.2,61.0,6.9,6.83,4.13,1,0,1
1.62,Ideal,G,VS2,61.7,54.0,7.57,7.58,4.68,4,3,3
0.41,Ideal,F,VS2,61.9,56.0,4.76,4.74,2.94,4,4,3
0.33,Very Good,E,SI1,60.6,60.0,4.41,4.44,2.68,3,6,2
0.81,Fair,G,VVS2,64.8,56.2,5.82,5.98,3.82,0,3,5
0.37,Premium,E,VS2,60.3,58.0,4.63,4.66,2.8,1,6,3
0.44,Ideal,G,SI1,62.7,57.0,4.85,4.82,3.03,4,3,2
1.23,Ideal,J,VS2,61.5,57.0,6.85,6.9,4.23,4,0,3
0.5,Ideal,H,IF,61.1,58.0,5.1,5.14,3.13,4,2,7
0.4,Ideal,I,SI1,61.6,56.0,4.74,4.68,2.9,4,1,2
1.01,Very Good,G,VVS2,63.3,57.0,6.29,6.36,4.01,3,3,5
0.32,Premium,E,VVS2,61.5,58.0,4.42,4.36,2.7,1,6,5
1.67,Ideal,F,VS2,61.8,57.0,7.58,7.62,4.7,4,4,3
0.69,Ideal,G,SI2,62.7,54.0,5.71,5.64,3.56,4,3,0
0.77,Very Good,D,SI1,58.6,59.0,6.0,6.04,3.53,3,5,2
0.25,Very Good,F,VVS2,61.6,57.0,4.05,4.07,2.5,3,4,5
0.51,Ideal,G,VS1,61.5,54.9,5.13,5.25,3.17,4,3,4
0.35,Very Good,H,VVS1,61.1,56.0,4.54,4.57,2.78,3,2,6
0.36,Ideal,D,VS2,61.8,56.0,4.6,4.56,2.83,4,5,3
0.52,Very Good,F,VS2,63.9,57.0,5.08,5.12,3.26,3,4,3
1.06,Ideal,F,SI1,61.7,55.1,6.56,6.58,4.06,4,4,2
0.5,Very Good,D,SI1,60.8,58.0,5.07,5.13,3.1,3,5,2
1.24,Ideal,F,SI2,61.4,58.0,6.85,6.9,4.22,4,4,0
1.03,Ideal,I,SI1,61.1,55.0,6.53,6.57,4.0,4,1,2
1.03,Premium,I,SI1,62.0,58.0,6.47,6.43,4.0,1,1,2
0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,3,6,2
0.33,Ideal,G,VVS2,62.0,53.5,4.44,4.48,2.76,4,3,5
1.7,Premium,H,SI2,59.8,61.0,7.67,7.62,4.57,1,2,0
1.01,Premium,F,VS2,61.7,58.0,6.47,6.43,3.98,1,4,3
0.58,Ideal,F,VS2,62.1,55.0,5.33,5.37,3.32,4,4,3
0.71,Ideal,E,VS2,62.2,56.0,5.7,5.75,3.56,4,6,3
0.58,Ideal,F,VVS1,61.7,55.0,5.36,5.39,3.31,4,4,6
0.92,Ideal,E,SI1,62.1,56.0,6.22,6.24,3.87,4,6,2
0.78,Very Good,F,SI1,62.4,55.0,5.85,5.89,3.66,3,4,2
1.16,Ideal,G,SI2,61.6,55.0,6.8,6.78,4.18,4,3,0
0.37,Ideal,G,VS2,60.5,56.0,4.65,4.68,2.82,4,3,3
1.07,Ideal,H,SI1,61.5,56.0,6.6,6.66,4.08,4,2,2
1.38,Premium,H,SI2,60.2,60.0,7.31,7.24,4.37,1,2,0
0.53,Ideal,F,VVS2,62.1,56.0,5.22,5.15,3.22,4,4,5
0.38,Good,G,VS1,63.9,60.0,4.59,4.52,2.91,2,3,4
1.2,Premium,G,VS2,59.4,58.0,6.91,6.85,4.09,1,3,3
0.7,Ideal,I,VS2,62.2,55.0,5.73,5.69,3.55,4,1,3
0.97,Very Good,F,VVS2,58.1,60.0,6.49,6.53,3.78,3,4,5
0.72,Ideal,E,SI1,60.3,55.0,5.85,5.89,3.54,4,6,2
1.5,Very Good,D,VS2,62.4,57.0,7.2,7.25,4.51,3,5,3
1.05,Ideal,J,VS1,62.8,57.0,6.45,6.41,4.04,4,0,4
0.51,Ideal,H,VS2,60.1,60.0,5.19,5.14,3.1,4,2,3
0.9,Good,E,SI2,65.8,60.0,5.94,5.97,3.92,2,6,0
0.26,Ideal,F,VVS2,61.6,57.0,4.08,4.1,2.52,4,4,5
1.1,Ideal,G,VS2,60.0,57.0,6.74,6.7,4.03,4,3,3
0.71,Ideal,G,VS2,60.6,56.0,5.76,5.8,3.5,4,3,3
0.34,Ideal,H,VVS2,61.8,54.0,4.49,4.47,2.77,4,2,5
0.37,Ideal,H,VS1,61.8,55.0,4.63,4.66,2.87,4,2,4
0.5,Very Good,G,SI1,62.2,58.0,5.03,5.07,3.14,3,3,2
0.7,Ideal,D,VS1,62.6,58.0,5.64,5.67,3.54,4,5,4
0.54,Ideal,G,SI1,61.7,55.0,5.24,5.27,3.24,4,3,2
0.5,Ideal,E,VS1,62.2,57.0,5.13,5.1,3.18,4,6,4
0.42,Ideal,I,SI1,61.6,55.0,4.83,4.85,2.98,4,1,2
0.9,Fair,D,SI2,64.7,59.0,6.09,5.99,3.91,0,5,0
1.0,Very Good,D,SI2,64.7,57.0,6.29,6.36,4.09,3,5,0
0.92,Good,D,SI2,57.8,63.0,6.4,6.36,3.69,2,5,0
0.96,Fair,I,VS2,56.1,60.0,6.62,6.58,3.7,0,1,3
0.73,Premium,I,VS1,60.3,58.0,5.87,5.83,3.53,1,1,4
0.52,Ideal,E,VS2,61.3,57.0,5.22,5.19,3.19,4,6,3
0.76,Very Good,F,SI2,58.5,62.0,5.93,6.01,3.49,3,4,0
1.01,Ideal,E,SI2,61.9,56.0,6.43,6.46,3.99,4,6,0
0.3,Premium,D,VS2,61.7,58.0,4.3,4.32,2.66,1,5,3
0.37,Premium,G,VVS2,62.2,58.0,4.56,4.6,2.85,1,3,5
2.01,Very Good,G,SI2,61.3,60.0,8.08,8.17,4.98,3,3,0
0.52,Very Good,H,VS1,61.7,55.0,5.15,5.17,3.19,3,2,4
1.13,Premium,J,SI2,62.4,59.0,6.68,6.62,4.15,1,0,0
0.43,Premium,E,SI2,61.8,60.0,4.85,4.83,2.99,1,6,0
0.41,Premium,D,VVS2,61.9,59.0,4.78,4.75,2.95,1,5,5
1.02,Very Good,J,SI2,63.4,56.0,6.42,6.36,4.05,3,0,0
1.0,Premium,J,VVS2,59.6,61.0,6.4,6.36,3.8,1,0,5
0.52,Ideal,D,VS2,62.2,56.0,5.13,5.16,3.2,4,5,3
1.55,Ideal,E,VVS2,62.5,55.0,7.38,7.4,4.62,4,6,5
2.04,Ideal,I,SI2,62.8,57.0,8.11,8.07,5.08,4,1,0
1.02,Ideal,H,VS2,62.3,54.0,6.48,6.39,4.01,4,2,3
1.52,Fair,D,SI1,64.6,64.0,7.18,7.16,4.63,0,5,2
0.35,Premium,E,VS2,61.4,58.0,4.55,4.51,2.78,1,6,3
1.03,Premium,F,VVS1,59.7,60.0,6.63,6.57,3.94,1,4,6
1.25,Premium,I,SI1,62.4,58.0,6.89,6.85,4.29,1,1,2
0.31,Premium,H,VS1,59.7,58.0,4.41,4.43,2.64,1,2,4
1.5,Ideal,H,VVS1,61.2,57.0,7.34,7.4,4.51,4,2,6
1.3,Very Good,I,VS2,61.8,56.0,6.98,7.04,4.33,3,1,3
1.02,Ideal,G,VS2,62.5,55.0,6.43,6.49,4.04,4,3,3
0.52,Good,H,VS2,63.5,58.0,5.11,5.12,3.25,2,2,3
0.7,Ideal,G,SI1,61.9,58.0,5.69,5.72,3.53,4,3,2
0.33,Ideal,E,VS2,62.4,55.0,4.42,4.4,2.75,4,6,3
1.01,Ideal,H,SI2,61.1,56.0,6.44,6.48,3.95,4,2,0
0.91,Ideal,F,SI2,62.7,57.0,6.16,6.21,3.88,4,4,0
1.03,Ideal,G,VS2,61.3,57.0,6.51,6.54,4.0,4,3,3
1.6,Ideal,J,SI1,62.8,55.0,7.48,7.42,4.68,4,0,2
0.54,Ideal,E,VS2,61.4,57.0,5.21,5.25,3.21,4,6,3
1.13,Very Good,J,SI1,63.5,59.0,6.62,6.55,4.18,3,0,2
1.01,Premium,F,VS1,62.5,58.0,6.37,6.42,4.0,1,4,4
2.0,Premium,E,SI2,62.2,56.0,8.14,8.06,5.04,1,6,0
1.01,Very Good,G,SI2,62.0,58.0,6.37,6.41,3.96,3,3,0
0.77,Fair,F,VS1,66.8,57.0,5.66,5.76,3.82,0,4,4
0.51,Premium,G,SI1,62.0,56.0,5.14,5.12,3.18,1,3,2
0.73,Ideal,E,VS2,61.7,57.0,5.77,5.8,3.57,4,6,3
0.68,Good,J,VS1,61.6,65.0,5.63,5.57,3.45,2,0,4
0.91,Good,F,SI2,63.9,56.0,6.11,6.06,3.89,2,4,0
0.3,Very Good,G,VVS1,61.9,59.0,4.28,4.31,2.66,3,3,6
0.3,Ideal,D,VVS1,62.1,56.0,4.31,4.32,2.68,4,5,6
0.39,Very Good,J,VVS1,61.8,56.0,4.64,4.71,2.89,3,0,6
0.41,Very Good,I,VVS2,61.3,60.0,4.77,4.82,2.94,3,1,5
0.38,Premium,H,VS1,61.6,58.0,4.65,4.7,2.88,1,2,4
0.9,Good,G,SI2,58.5,61.0,6.28,6.33,3.69,2,3,0
0.34,Ideal,G,IF,62.2,53.0,4.49,4.52,2.8,4,3,7
1.14,Very Good,G,SI2,59.5,59.0,6.79,6.85,4.06,3,3,0
1.18,Very Good,E,I1,63.3,57.0,6.7,6.64,4.22,3,6,1
0.38,Premium,H,VS2,60.5,59.0,4.66,4.69,2.83,1,2,3
0.36,Ideal,H,IF,61.9,57.0,4.6,4.55,2.83,4,2,7
0.4,Ideal,J,VVS2,62.5,53.0,4.74,4.79,2.98,4,0,5
0.51,Premium,F,SI2,62.8,60.0,5.1,5.03,3.18,1,4,0
1.54,Ideal,J,VS2,61.9,57.0,7.39,7.5,4.6,4,0,3
0.53,Ideal,G,IF,62.1,57.0,5.16,5.21,3.22,4,3,7
1.5,Premium,G,VS2,60.5,59.0,7.39,7.35,4.46,1,3,3
0.43,Very Good,F,SI1,62.4,56.0,4.81,4.84,3.01,3,4,2
2.18,Premium,J,VS2,60.1,58.0,8.46,8.41,5.07,1,0,3
0.34,Ideal,F,VS2,62.6,54.0,4.46,4.48,2.8,4,4,3
0.3,Good,E,VVS2,63.0,58.0,4.27,4.34,2.71,2,6,5
0.32,Ideal,D,VS2,61.7,54.0,4.38,4.43,2.72,4,5,3
0.8,Ideal,D,VS2,61.3,56.0,5.97,6.0,3.67,4,5,3
0.3,Premium,D,SI1,61.7,59.0,4.31,4.28,2.65,1,5,2
0.76,Ideal,F,VS1,61.9,55.0,5.88,5.84,3.63,4,4,4
0.34,Ideal,E,SI1,61.4,55.0,4.54,4.48,2.77,4,6,2
0.3,Premium,E,VS1,60.6,62.0,4.3,4.28,2.6,1,6,4
1.01,Good,D,SI1,58.3,59.0,6.59,6.61,3.85,2,5,2
0.55,Ideal,F,VS2,61.4,57.0,5.29,5.25,3.24,4,4,3
0.8,Ideal,H,SI2,62.4,57.0,5.91,5.83,3.66,4,2,0
1.5,Ideal,D,VS2,62.0,57.0,7.34,7.37,4.56,4,5,3
2.51,Premium,J,VS2,62.2,58.0,8.73,8.67,5.41,1,0,3
0.75,Premium,F,VS2,61.6,58.0,5.84,5.89,3.61,1,4,3
0.31,Ideal,D,VS2,62.1,55.0,4.32,4.38,2.7,4,5,3
1.01,Ideal,E,SI2,62.1,56.0,6.39,6.43,3.98,4,6,0
0.31,Ideal,D,VVS2,61.2,55.0,4.37,4.42,2.69,4,5,5
0.3,Very Good,G,VS2,63.1,58.0,4.27,4.23,2.68,3,3,3
0.3,Premium,D,IF,62.1,59.0,4.27,4.29,2.66,1,5,7
0.27,Ideal,G,IF,61.6,57.0,4.18,4.21,2.58,4,3,7
0.31,Premium,I,VS1,62.3,59.0,4.29,4.35,2.69,1,1,4
0.53,Very Good,G,VS2,60.1,59.0,5.22,5.26,3.15,3,3,3
1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,2,4,4
1.25,Premium,H,SI2,61.6,54.0,6.95,6.85,4.25,1,2,0
2.51,Premium,J,SI2,59.3,58.0,8.83,8.87,5.25,1,0,0
0.77,Ideal,G,SI1,61.5,56.0,5.89,5.92,3.63,4,3,2
0.41,Very Good,E,SI2,61.9,55.0,4.77,4.8,2.96,3,6,0
0.83,Ideal,F,SI1,62.1,57.0,6.0,6.02,3.73,4,4,2
0.72,Ideal,F,SI2,62.4,55.0,5.72,5.76,3.58,4,4,0
0.7,Premium,G,I1,62.3,56.0,5.66,5.61,3.51,1,3,1
1.01,Very Good,E,VS2,60.9,57.0,6.41,6.47,3.92,3,6,3
0.3,Ideal,G,IF,62.3,54.0,4.32,4.35,2.7,4,3,7
0.31,Very Good,I,VS2,59.3,59.0,4.38,4.42,2.61,3,1,3
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,4,3,3
0.43,Premium,I,IF,61.2,58.0,4.83,4.88,2.97,1,1,7
1.04,Premium,E,SI2,61.6,59.0,6.57,6.55,4.04,1,6,0
0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,0,6,0
0.5,Premium,D,SI1,62.8,57.0,5.08,5.05,3.18,1,5,2
1.89,Ideal,J,VS1,62.0,56.0,7.93,7.98,4.93,4,0,4
0.4,Good,I,VVS1,63.5,57.0,4.65,4.68,2.96,2,1,6
0.39,Ideal,E,VS1,60.8,56.0,4.74,4.77,2.89,4,6,4
0.97,Premium,F,SI1,59.9,59.0,6.36,6.39,3.82,1,4,2
0.9,Ideal,E,SI2,62.0,55.0,6.15,6.23,3.84,4,6,0
0.27,Very Good,E,IF,59.7,56.0,4.26,4.28,2.55,3,6,7
0.4,Very Good,D,VS2,59.3,58.0,4.8,4.85,2.86,3,5,3
0.9,Fair,H,SI2,64.4,59.0,6.03,5.99,3.87,0,2,0
0.28,Premium,F,VS2,59.6,61.0,4.28,4.25,2.54,1,4,3
0.9,Good,H,VS2,64.0,58.0,6.11,6.07,3.9,2,2,3
1.2,Premium,G,SI2,62.8,62.0,6.69,6.65,4.19,1,3,0
1.01,Ideal,F,VVS2,61.8,56.0,6.49,6.46,4.0,4,4,5
0.42,Ideal,G,VS1,61.9,56.0,4.77,4.82,2.97,4,3,4
1.51,Very Good,G,VS2,64.0,56.0,7.22,7.3,4.65,3,3,3
1.72,Ideal,E,I1,62.2,55.0,7.7,7.67,4.78,4,6,1
0.71,Ideal,E,SI2,61.5,57.0,5.74,5.78,3.54,4,6,0
3.01,Fair,H,I1,56.1,62.0,9.54,9.38,5.31,0,2,1
2.0,Good,J,SI2,61.5,61.0,7.97,8.06,4.93,2,0,0
0.32,Ideal,E,VS2,62.0,55.0,4.46,4.38,2.74,4,6,3
0.73,Ideal,D,VS2,61.5,55.0,5.79,5.82,3.57,4,5,3
0.7,Very Good,G,VS1,60.0,56.0,5.77,5.83,3.48,3,3,4
0.9,Good,H,I1,57.4,63.0,6.38,6.33,3.65,2,2,1
1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,4,6,0
1.01,Premium,H,SI2,58.8,58.0,6.62,6.57,3.88,1,2,0
0.51,Ideal,E,VS1,61.5,56.0,5.11,5.16,3.16,4,6,4
